"play_id","game_id","season","season_type","start_time","posteam","posteam_type","game_date","qtr","game_seconds_remaining","play_type","kick_distance","score_differential","ep","kicker_player_id","kicker_player_name","stadium_id","weather","roof","temp","wind","forecast_parsed","temp_parsed","humidity_parsed","wind_direction_parsed","wind_speed_parsed","surface_type","fg_made","Indoor","Turf","Altitude","Precip","night_game","high_leverage","away_game","playoffs","temp_bucket","cold","hot","humid_game","wind_bucket","moderate_wind","high_wind","windy_day","wind_speed_x_kick_distance","cold_x_wind"
4273,"2024_08_ARI_MIA",2024,"REG","10/27/24, 13:02:48","ARI","away","2024-10-27",4,1,"field_goal",34,-2,2.77018656346997,"00-0038567","C.Ryland","MIA00","Partly Cloudy Temp: 82° F, Humidity: 52%, Wind: ENE 14 mph","outdoors",82,14,"Partly Cloudy",82,52,"ENE",14,"grass",1,0,0,0,0,0,1,1,0,"Hot",0,1,0,"Moderate",1,0,1,476,0
1944,"2024_08_ATL_TB",2024,"REG","10/27/24, 13:02:29","TB","home","2024-10-27",2,1869,"field_goal",52,-7,1.3461570389754,"00-0035358","C.McLaughlin","TAM00","Cloudy Temp: 79° F, Humidity: 59%, Wind: NE 6 mph","outdoors",79,6,"Cloudy",79,59,"NE",6,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,312,0
2255,"2024_08_ATL_TB",2024,"REG","10/27/24, 13:02:29","ATL","away","2024-10-27",2,1805,"field_goal",39,4,2.59240084126435,"00-0033702","Y.Koo","TAM00","Cloudy Temp: 79° F, Humidity: 59%, Wind: NE 6 mph","outdoors",79,6,"Cloudy",79,59,"NE",6,"grass",1,0,0,0,0,0,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,234,0
4234,"2024_08_ATL_TB",2024,"REG","10/27/24, 13:02:29","ATL","away","2024-10-27",4,66,"field_goal",46,5,2.03976807108209,"00-0033702","Y.Koo","TAM00","Cloudy Temp: 79° F, Humidity: 59%, Wind: NE 6 mph","outdoors",79,6,"Cloudy",79,59,"NE",6,"grass",0,0,0,0,0,0,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,276,0
734,"2024_08_BAL_CLE",2024,"REG","10/27/24, 13:02:27","CLE","home","2024-10-27",1,2740,"field_goal",28,0,2.88975864497085,"00-0030098","D.Hopkins","CLE00","Sunny Temp: 52° F, Humidity: 50%, Wind: S 4 mph","outdoors",52,4,"Sunny",52,50,"S",4,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,112,0
940,"2024_08_BAL_CLE",2024,"REG","10/27/24, 13:02:27","BAL","away","2024-10-27",2,2516,"field_goal",49,-3,1.45491127951942,"00-0029597","J.Tucker","CLE00","Sunny Temp: 52° F, Humidity: 50%, Wind: S 4 mph","outdoors",52,4,"Sunny",52,50,"S",4,"grass",1,0,0,0,0,0,0,1,0,"Moderate",0,0,0,"Low",0,0,0,196,0
1502,"2024_08_BAL_CLE",2024,"REG","10/27/24, 13:02:27","CLE","home","2024-10-27",2,2025,"field_goal",33,0,2.75153766845337,"00-0030098","D.Hopkins","CLE00","Sunny Temp: 52° F, Humidity: 50%, Wind: S 4 mph","outdoors",52,4,"Sunny",52,50,"S",4,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,132,0
3252,"2024_08_BAL_CLE",2024,"REG","10/27/24, 13:02:27","BAL","away","2024-10-27",4,783,"field_goal",50,-3,1.34840034532392,"00-0029597","J.Tucker","CLE00","Sunny Temp: 52° F, Humidity: 50%, Wind: S 4 mph","outdoors",52,4,"Sunny",52,50,"S",4,"grass",0,0,0,0,0,0,0,1,0,"Moderate",0,0,0,"Low",0,0,0,200,0
3735,"2024_08_BAL_CLE",2024,"REG","10/27/24, 13:02:27","CLE","home","2024-10-27",4,299,"field_goal",48,3,1.61311044927834,"00-0030098","D.Hopkins","CLE00","Sunny Temp: 52° F, Humidity: 50%, Wind: S 4 mph","outdoors",52,4,"Sunny",52,50,"S",4,"grass",1,0,0,0,0,0,1,0,0,"Moderate",0,0,0,"Low",0,0,0,192,0
1421,"2024_08_BUF_SEA",2024,"REG","10/27/24, 16:05:24","SEA","home","2024-10-27",2,2298,"field_goal",38,-7,2.4740471051204,"00-0031492","J.Myers","SEA00","Mostly Cloudy Temp: 55° F, Humidity: 82%, Wind: SW 14 mph","outdoors",55,14,"Mostly Cloudy",55,82,"SW",14,"fieldturf",1,0,1,0,0,0,0,0,0,"Moderate",0,0,1,"Moderate",1,0,1,532,0
2538,"2024_08_BUF_SEA",2024,"REG","10/27/24, 16:05:24","BUF","away","2024-10-27",3,1414,"field_goal",27,11,2.90727866869248,"00-0036162","T.Bass","SEA00","Mostly Cloudy Temp: 55° F, Humidity: 82%, Wind: SW 14 mph","outdoors",55,14,"Mostly Cloudy",55,82,"SW",14,"fieldturf",1,0,1,0,0,0,0,1,0,"Moderate",0,0,1,"Moderate",1,0,1,378,0
385,"2024_08_CHI_WAS",2024,"REG","10/27/24, 16:25:28","WAS","home","2024-10-27",1,3234,"field_goal",27,0,2.90253526340905,"00-0035145","A.Seibert","WAS00","Sunny Temp: 58° F, Humidity: 33%, Wind: NNW 2 mph","outdoors",58,2,"Sunny",58,33,"NNW",2,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,54,0
923,"2024_08_CHI_WAS",2024,"REG","10/27/24, 16:25:28","WAS","home","2024-10-27",1,2768,"field_goal",30,3,2.82497406151833,"00-0035145","A.Seibert","WAS00","Sunny Temp: 58° F, Humidity: 33%, Wind: NNW 2 mph","outdoors",58,2,"Sunny",58,33,"NNW",2,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,60,0
1648,"2024_08_CHI_WAS",2024,"REG","10/27/24, 16:25:28","WAS","home","2024-10-27",2,2127,"field_goal",28,6,2.90721348293567,"00-0035145","A.Seibert","WAS00","Sunny Temp: 58° F, Humidity: 33%, Wind: NNW 2 mph","outdoors",58,2,"Sunny",58,33,"NNW",2,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,56,0
2749,"2024_08_CHI_WAS",2024,"REG","10/27/24, 16:25:28","WAS","home","2024-10-27",3,1252,"field_goal",47,9,1.59891891561917,"00-0035145","A.Seibert","WAS00","Sunny Temp: 58° F, Humidity: 33%, Wind: NNW 2 mph","outdoors",58,2,"Sunny",58,33,"NNW",2,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,94,0
3387,"2024_08_CHI_WAS",2024,"REG","10/27/24, 16:25:28","WAS","home","2024-10-27",4,849,"field_goal",51,5,1.1607098898317,"00-0035145","A.Seibert","WAS00","Sunny Temp: 58° F, Humidity: 33%, Wind: NNW 2 mph","outdoors",58,2,"Sunny",58,33,"NNW",2,"grass",0,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,102,0
469,"2024_08_DAL_SF",2024,"REG","10/27/24, 20:24:18","SF","home","2024-10-27",1,3139,"field_goal",50,0,1.17737310831751,"00-0038402","A.Carlson","SFO01","Cloudy Temp: 69° F, Humidity: 70%, Wind: NE 9 mph","outdoors",69,9,"Cloudy",69,70,"NE",9,"grass",1,0,0,0,0,1,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,450,0
1684,"2024_08_DAL_SF",2024,"REG","10/27/24, 20:24:18","DAL","away","2024-10-27",2,1979,"field_goal",29,4,2.85975262688355,"00-0037692","B.Aubrey","SFO01","Cloudy Temp: 69° F, Humidity: 70%, Wind: NE 9 mph","outdoors",69,9,"Cloudy",69,70,"NE",9,"grass",1,0,0,0,0,1,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,261,0
1907,"2024_08_DAL_SF",2024,"REG","10/27/24, 20:24:18","SF","home","2024-10-27",2,1895,"field_goal",44,-7,2.07424607861928,"00-0038402","A.Carlson","SFO01","Cloudy Temp: 69° F, Humidity: 70%, Wind: NE 9 mph","outdoors",69,9,"Cloudy",69,70,"NE",9,"grass",1,0,0,0,0,1,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,396,0
3989,"2024_08_DAL_SF",2024,"REG","10/27/24, 20:24:18","SF","home","2024-10-27",4,270,"field_goal",41,10,2.38472733583444,"00-0038402","A.Carlson","SFO01","Cloudy Temp: 69° F, Humidity: 70%, Wind: NE 9 mph","outdoors",69,9,"Cloudy",69,70,"NE",9,"grass",1,0,0,0,0,1,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,369,0
1438,"2024_08_GB_JAX",2024,"REG","10/27/24, 13:02:49","GB","away","2024-10-27",2,2167,"field_goal",31,7,2.82155689457854,"00-0029822","B.McManus","JAX00","Temp: 84° F, Humidity: 46%, Wind: S 4 mph","outdoors",84,4,"",84,46,"S",4,"grass",1,0,0,0,0,0,0,1,0,"Hot",0,1,0,"Low",0,0,0,124,0
2003,"2024_08_GB_JAX",2024,"REG","10/27/24, 13:02:49","GB","away","2024-10-27",2,1858,"field_goal",38,3,2.62511769161126,"00-0029822","B.McManus","JAX00","Temp: 84° F, Humidity: 46%, Wind: S 4 mph","outdoors",84,4,"",84,46,"S",4,"grass",1,0,0,0,0,0,0,1,0,"Hot",0,1,0,"Low",0,0,0,152,0
2196,"2024_08_GB_JAX",2024,"REG","10/27/24, 13:02:49","JAX","home","2024-10-27",2,1807,"field_goal",39,-6,2.59021584507705,"00-0039409","C.Little","JAX00","Temp: 84° F, Humidity: 46%, Wind: S 4 mph","outdoors",84,4,"",84,46,"S",4,"grass",1,0,0,0,0,0,0,0,0,"Hot",0,1,0,"Low",0,0,0,156,0
3754,"2024_08_GB_JAX",2024,"REG","10/27/24, 13:02:49","JAX","home","2024-10-27",4,339,"field_goal",47,-10,1.67291156937057,"00-0039409","C.Little","JAX00","Temp: 84° F, Humidity: 46%, Wind: S 4 mph","outdoors",84,4,"",84,46,"S",4,"grass",1,0,0,0,0,0,0,0,0,"Hot",0,1,0,"Low",0,0,0,188,0
4283,"2024_08_GB_JAX",2024,"REG","10/27/24, 13:02:49","GB","away","2024-10-27",4,2,"field_goal",24,0,2.94177378185618,"00-0029822","B.McManus","JAX00","Temp: 84° F, Humidity: 46%, Wind: S 4 mph","outdoors",84,4,"",84,46,"S",4,"grass",1,0,0,0,0,0,1,1,0,"Hot",0,1,0,"Low",0,0,0,96,0
322,"2024_08_NYG_PIT",2024,"REG","10/28/24, 20:15:29","PIT","home","2024-10-28",1,3323,"field_goal",31,0,2.77531519551325,"00-0031136","C.Boswell","PIT00","Clear Temp: 54° F, Humidity: 57%, Wind: SSE 7 mph","outdoors",54,7,"Clear",54,57,"SSE",7,"grass",1,0,0,0,0,1,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,217,0
564,"2024_08_NYG_PIT",2024,"REG","10/28/24, 20:15:29","NYG","away","2024-10-28",1,3023,"field_goal",29,-3,2.8812214290021,"00-0034450","G.Joseph","PIT00","Clear Temp: 54° F, Humidity: 57%, Wind: SSE 7 mph","outdoors",54,7,"Clear",54,57,"SSE",7,"grass",1,0,0,0,0,1,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,203,0
755,"2024_08_NYG_PIT",2024,"REG","10/28/24, 20:15:29","PIT","home","2024-10-28",1,2888,"field_goal",25,0,2.91042335145373,"00-0031136","C.Boswell","PIT00","Clear Temp: 54° F, Humidity: 57%, Wind: SSE 7 mph","outdoors",54,7,"Clear",54,57,"SSE",7,"grass",1,0,0,0,0,1,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,175,0
1234,"2024_08_NYG_PIT",2024,"REG","10/28/24, 20:15:29","NYG","away","2024-10-28",2,2563,"field_goal",39,-3,2.47062814796041,"00-0034450","G.Joseph","PIT00","Clear Temp: 54° F, Humidity: 57%, Wind: SSE 7 mph","outdoors",54,7,"Clear",54,57,"SSE",7,"grass",1,0,0,0,0,1,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,273,0
1624,"2024_08_NYG_PIT",2024,"REG","10/28/24, 20:15:29","PIT","home","2024-10-28",2,2295,"field_goal",27,0,2.89036904098714,"00-0031136","C.Boswell","PIT00","Clear Temp: 54° F, Humidity: 57%, Wind: SSE 7 mph","outdoors",54,7,"Clear",54,57,"SSE",7,"grass",1,0,0,0,0,1,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,189,0
